origin,age,colour,sex,import_type,season_stakes,total_stakes,no_of_123_starts,no_of_starts_in_past_races,trainer,owner,current_rating,start_of_season_rating,sire,dam,dam_sire
NZ ,3,Brown , Gelding,PPG,"$60,000 ","$60,000 ",0-0-0-1,1,C S Shum,"James Chan Shiu On, Joseph Chan Ho Lim, Janet Chan Ng Chee Tung & Wendy Chan Wing Kei",52,52,Power,Devon Doll,Tavistock
NZ ,4,Bay , Gelding,PPG,"$995,000 ","$1,241,585 ",0-3-4-14,2,Y S Tsui,"Eddie Law Kar Chung, Ada Ng Wai Hing & Edwin Law Pok Hin",51,50,Rip Van Winkle,Lion Blanc,Reset
IRE ,5,Chestnut , Gelding,PP,"$95,000 ","$95,000 ",0-0-0-11,2,K W Lui,Leung Lun Ping,51,56,Es Que Love,Dubai Pearl,Refuse To Bend
AUS ,4,Bay , Gelding,ISG,"$500,000 ","$500,000 ",0-2-0-5,1,K W Lui,Sze-To Kin Sun,50,52,I Am Invincible,Utopia,High Chaparral
AUS ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-2,0,K L Man,Law Hing Cheung,50,52,Nicconi,Thekatcamehome,Sea Of Secrets
IRE ,5,Bay , Gelding,ISG,"$440,000 ","$440,000 ",0-2-0-8,1,C H Yip,William Yu Kit Ying,49,49,Kingman,Janicellaine,Beat Hollow
NZ ,5,Brown , Gelding,ISG,"$115,000 ","$226,205 ",0-0-2-6,1,A T Millard,Wong Ping Kuen,49,52,O'Reilly,Lady Chaparral,High Chaparral
IRE ,5,Bay , Gelding,PP,"$605,000 ","$605,000 ",1-0-0-15,1,W Y So,Leo To Ka Ho,49,53,Invincible Spirit,Alumni,Selkirk
AUS ,4,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-2,0,C H Yip,Lunner Club Syndicate,49,52,Toronado,Moretti,More Than Ready
AUS ,4,Bay , Gelding,PP,"$130,000 ","$296,750 ",0-0-1-12,0,D J Hall,Mahogany Syndicate,49,57,Street Boss,La Kalima,Tuscany Flyer
NZ ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-2,2,L Ho,Mike Kwok Yu Wah,49,52,Super Easy,Steel Stilettos,Hussonet
NZ ,4,Bay , Gelding,PPG,"$185,000 ","$508,945 ",0-1-2-7,1,P F Yiu,Chow Yuet Kam,49,52,Super Easy,Stars,Pentire
GB ,4,Bay , Gelding,PPG,"$340,000 ","$340,000 ",0-1-0-6,1,F C Lor,Julian Hui Chun Hang & Michele Monique Reis,48,52,Kingman,Lady Linda,Torrential
AUS ,4,Bay , Gelding,PPG,"$230,000 ","$230,000 ",0-0-2-5,1,D J Whyte,HK Golf Club Racing Syndicate,48,52,Zoffany,Exquisite,Viscount
AUS ,3,Bay , Gelding,PPG,"$265,000 ","$265,000 ",0-0-2-5,1,D A Hayes,Tam Wing Kun,48,52,Love Conquers All,Choose The Moment,Choisir
AUS ,4,Brown , Gelding,PPG,"$605,000 ","$605,000 ",1-0-0-8,1,Y S Tsui,Winter Swimmers Syndicate,48,42,Exceed And Excel,Perfect Hostess,Dehere
NZ ,5,Bay , Gelding,PPG,"$60,000 ","$340,430 ",0-0-2-8,0,W Y So,Sam Lee Yuk Sum,48,48,Jimmy Choux,Miss Faberge,Ustinov
AUS ,8,Chestnut , Gelding,PP,"$220,000 ","$3,833,109 ",4-4-1-50,0,P O'Sullivan,David Sin Wai Kin,48,53,Husson,Ourkohinoor,King Cugat
AUS ,3,Bay , Gelding,PPG,"$35,000 ","$35,000 ",0-0-0-3,1,C W Chang,Jimmy Tang Kwok Leung,48,52,Press Statement,Lago Joy,Encosta de Lago
AUS ,7,Bay , Gelding,PPG,"$595,000 ","$3,346,040 ",2-6-5-41,1,C H Yip,Samuel Choi Lin Hung,47,50,Smart Missile,Dashie Diva,Dash For Cash
AUS ,6,Chestnut , Gelding,PPG,"$1,847,500 ","$2,841,080 ",3-3-6-26,2,T P Yung,Steven Leung Man Hung,47,36,All Too Hard,Miss Tizzy,Cee's Tizzy
AUS ,4,Bay , Gelding,ISG,"$60,000 ","$60,000 ",0-0-0-3,0,R Gibson,Merry Gang Syndicate,47,52,Mossman,Winning Belle,Zabeel
AUS ,4,Bay , Gelding,PPG,"$650,000 ","$761,205 ",0-2-2-12,1,D J Whyte,Lester C H Kwok,47,50,Smart Missile,Serenade Lily,King's Best
AUS ,4,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-3,1,K H Ting,Yan Oi Racing Syndicate,47,52,Olympic Glory,Macedon Lady,Filante
NZ ,3,Chestnut , Gelding,PPG,"$210,000 ","$210,000 ",0-0-1-4,2,D A Hayes,Carmelo Lee Ka Sze & Nathan Lee Tze Hong,46,52,Iffraaj,Glass Half Full,Van Nistelrooy
IRE ,5,Chestnut , Horse,PPG,"$220,000 ","$1,082,145 ",1-1-2-20,1,K H Ting,Faithful Syndicate,45,56,Excelebration,Kramer Drive,Medicean
AUS ,5,Bay , Gelding,PPG,"$485,000 ","$630,050 ",0-1-3-14,2,P O'Sullivan,Vanessa Koo Lee Ying,45,49,Zoustar,Annlea,Canny Lad
NZ ,4,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-5,0,C Fownes,Alex Fan Chen Yen,45,52,Ocean Park,Finkican,Refuse To Bend
AUS ,6,Bay , Gelding,PP,$0 ,$0 ,0-0-0-10,0,K H Ting,Equine Passion Syndicate,45,48,Bullet Train,Auspicious Day,Night Shift
AUS ,3,Brown , Gelding,PPG,"$115,000 ","$115,000 ",0-0-1-4,1,A T Millard,Lucky Go Happy Syndicate,45,50,Kermadec,Indiscretions,Commands
AUS ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-4,1,A T Millard,Mr & Mrs Iain Bruce,44,52,Teofilo,Base Paradise,Choisir
IRE ,4,Bay , Gelding,PPG,"$35,000 ","$183,750 ",0-0-1-6,1,W Y So,Leung Chiu Hung,43,48,Dandy Man,Cucuma,Invincible Spirit
NZ ,4,Bay , Gelding,PPG,"$35,000 ","$35,000 ",0-0-0-5,0,Y S Tsui,Skymark Syndicate,43,52,Per Incanto,Bilancia,Montjeu
NZ ,5,Bay , Gelding,PP,"$557,500 ","$557,500 ",1-0-0-17,2,C H Yip,Cousin Family Syndicate,42,44,Highly Recommended,Howbaddouneedit,Howbaddouwantit
GB ,4,Brown , Gelding,PPG,$0 ,$0 ,0-0-0-5,2,K H Ting,Joy Luck Syndicate,42,52,Poet's Voice,Songseeker,Oasis Dream
AUS ,4,Bay , Gelding,PPG,"$130,000 ","$130,000 ",0-0-0-7,1,C H Yip,Victor Hui Chun Fui,42,51,Dream Ahead,Eager To Please,Stratum
NZ ,4,Chestnut , Gelding,PPG,"$515,000 ","$573,020 ",0-1-2-10,1,D J Hall,David Mong Tak Yeung,42,48,Makfi,Palos de Lago,Encosta de Lago
NZ ,6,Bay , Gelding,PPG,"$627,500 ","$1,718,150 ",2-3-3-24,1,Y S Tsui,Mr & Mrs Philip N L Chen,41,41,Mastercraftsman,Royal Ambition,Royal Academy
SAF ,5,Bay , Gelding,PP,$0 ,$0 ,0-0-0-17,0,D E Ferraris,Gold Mines Syndicate,40,52,Seventh Rock,Schism,Count Dubois
AUS ,4,Grey , Gelding,PPG,"$130,000 ","$241,205 ",0-0-1-10,1,D J Hall,Thomas Poon Ho Wing & Poon Chi Keung,40,45,Smart Missile,Lundi,Charge Forward
IRE ,7,Bay , Gelding,ISG,"$586,250 ","$2,892,940 ",2-3-3-43,2,W Y So,Toru Okawa,39,43,Fastnet Rock,Aniarnota,Dalakhani
AUS ,4,Brown , Gelding,PPG,"$60,000 ","$60,000 ",0-0-0-8,3,D J Whyte,Alex Chan Ka Ming,39,52,Duporth,Frizetto,Tiznow
IRE ,4,Grey , Gelding,ISG,"$165,000 ","$165,000 ",0-1-0-7,1,R Gibson,Derek Tam Lap Tak,39,52,Exceed And Excel,Callistan,Galileo
AUS ,6,Bay , Gelding,PP,$0 ,"$66,045 ",0-0-0-15,0,C H Yip,Kan Lam Man Wah & Elsa Chan,39,41,Sepoy,Secret Indulgence,Fastnet Rock
AUS ,7,Chestnut , Gelding,PPG,$0 ,"$2,713,900 ",2-3-4-32,2,W Y So,Merry Gang Syndicate,39,53,Helmet,Umoya,Nashwan
AUS ,4,Brown , Gelding,PPG,"$45,000 ","$45,000 ",0-0-0-7,1,Y S Tsui,Tong Yeuk Fung,38,52,Denman,Unswerving,Commands
GB ,4,Bay , Gelding,PPG,"$120,000 ","$523,750 ",0-2-0-10,1,D J Whyte,"Ho Tze Man, Irene Lam Tak Wing & Simon Chau Sik Ming",38,52,Acclamation,Enigmatique,Arcano
GB ,5,Bay , Gelding,PP,"$410,000 ","$410,000 ",0-1-0-17,2,Y S Tsui,Tam Ping Chi & William Leung Man Foon,37,50,Kyllachy,Lavinia's Grace,Green Desert
NZ ,5,Bay , Gelding,PP,"$60,000 ","$262,400 ",0-1-0-16,2,W Y So,Cecil Chao Sze Tsung,37,53,Battle Paint,Gemima,Casual Lies
AUS ,6,Bay , Gelding,PPG,"$121,250 ","$468,700 ",0-1-1-12,0,C Fownes,Chong Siu Pui,37,47,Magic Albert,Arms Wide Open,Encosta de Lago
NZ ,7,Bay , Gelding,PPG,$0 ,"$3,301,610 ",5-2-5-45,0,Y S Tsui,Skymark Syndicate,35,44,Stravinsky,Inzabeel,Zabeel
AUS ,8,Bay , Gelding,PP,"$625,000 ","$3,794,650 ",3-7-6-61,1,C W Chang,Li Si Rong,35,46,Reward For Effort,Sister Livia,Galileo
AUS ,4,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-6,1,D E Ferraris,Simon Tsang Heung Tung,35,51,Dissident,Family Girl,Zeditave
SAF ,6,Brown , Gelding,PP,"$472,500 ","$728,755 ",1-0-2-26,0,D E Ferraris,Alan Chow Kwun Lun & Gordon Fung Ping Chung,34,35,Var,Covenant,Western Winter
AUS ,4,Bay , Gelding,PPG,"$60,000 ","$60,000 ",0-0-0-11,1,T P Yung,Mr & Mrs Charles Chan Kam Kwong,34,52,Deep Field,Sravana,Stratum
GER ,6,Chestnut , Gelding,ISG,$0 ,"$1,062,125 ",2-0-1-24,3,W Y So,Wallace Cheung Kwong Yung,33,38,Iffraaj,Neuquen,Rock Of Gibraltar
IRE ,5,Bay , Gelding,ISG,"$80,000 ","$191,205 ",0-0-1-14,1,D J Whyte,Wong Wa Hong,33,43,Camacho,Viva Diva,Hurricane Run
AUS ,4,Brown , Gelding,PPG,"$176,250 ","$176,250 ",0-0-1-13,2,K W Lui,Alex Ng Siu Ting & Zoe Yam Yee Lam,33,38,Pierro,Amaliehaven,More Than Ready
AUS ,6,Bay , Gelding,PPG,"$26,250 ","$1,715,590 ",2-2-1-29,0,K L Man,Super Excellent Partners Syndicate,31,35,Exceed And Excel,Innovation Girl,Rubiton
NZ ,5,Bay , Gelding,PPG,"$660,000 ","$1,963,775 ",2-2-7-35,3,C Fownes,"Kwan Kin Man, Dora Kwan Man Ting & Bryan Kwan Hon Ming",30,39,Niagara,Montjeu Way,Montjeu
AUS ,6,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-7,0,L Ho,Rotarian Syndicate,30,30,Manhattan Rain,Zabelka,Zabeel
USA ,5,Grey , Gelding,PPG,"$285,000 ","$285,000 ",0-0-3-13,1,C H Yip,"Newlson Tang Kin Ming, Gilbert Hung Wan Hoi & Franklin Hung Chi Yen",28,36,More Than Ready,Thissongsforbailee,Unbridled's Song
SAF ,5,Bay , Gelding,PPG,"$453,750 ","$453,750 ",1-0-0-12,1,D E Ferraris,Mr & Mrs Jimmy Jim and Jessica Jim Sze Ho,28,30,Silvano,Pay The Piper,Saumarez
FR ,6,Bay , Gelding,PPG,"$236,250 ","$873,330 ",0-3-2-25,0,P O'Sullivan,HK Football Club Horse Racing Syndicate,27,36,Siyouni,Doubrovska,Vettori
NZ ,4,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-10,1,Y S Tsui,Shanghai Club Syndicate,26,42,Shamexpress,Diplomacy,No Excuse Needed
AUS ,5,Bay , Gelding,PPG,"$356,250 ","$356,250 ",0-2-0-13,2,C H Yip,"Yip Ping Nam, Yip Michael Chun Yin, Yip Candy Kam Yee & Yip Shirley Wai Yee",24,30,Savabeel,Vedex,Exceed And Excel
NZ ,5,Bay , Gelding,PPG,"$453,750 ","$453,750 ",1-0-0-14,0,Y S Tsui,Mr & Mrs Ma Leung & Rosie Ma Ka Ki,23,20,Tavistock,Indian Song,Indian Danehill
AUS ,4,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-11,1,D J Whyte,"Alfred Lui Wai Fat, Lisa Ngai Lai Ha, Terry Ng Sze Yuen & Maggie Koong May Kay",22,46,Not A Single Doubt,Umaquest,Umatilla
IRE ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,J Size,Julian Hui Chun Hang & Michele Monique Reis,,,Exceed And Excel,Illustrious Miss,Kingmambo
IRE ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,D J Whyte,Johanna K J Arculli BBS,,,Exceed And Excel,Sufoof,Acclamation
NZ ,2,Brown , Gelding,PPG,"$187,000 ","$187,000 ",0-1-0-1,1,F C Lor,Evergreen Syndicate,,,Swiss Ace,Eleanor Coup,Daggers Drawn
NZ ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,P O'Sullivan,HK Football Club Horse Racing Syndicate,,,Contributer,Snowdonia,Peintre Celebre
AUS ,2,Brown , Colt,PPG,$0 ,$0 ,0-0-0-1,1,A T Millard,Thomas Lau Sum Fai,,,Street Boss,Renaka,Redoute's Choice
GB ,8,Chestnut , Gelding,PP,"$518,500 ","$39,640,050 ",7-3-4-41,1,A S Cruz,Martin Siu Kim Sun,105,117,Archipenko,Here To Eternity,Stormy Atlantic
AUS ,4,Bay , Gelding,PP,"$4,307,000 ","$4,307,000 ",1-0-2-5,1,C S Shum,"Shum Mak Ling, Jimmy Tang, Bennie Lau Yuk Lung & William Shum Wai Lam",98,86,Olympic Glory,Modave,Montjeu
GB ,5,Chestnut , Gelding,PP,"$3,268,000 ","$3,840,750 ",2-3-2-11,1,C Fownes,Eddie Junior Yau,90,74,Dutch Art,Barynya,Pivotal
FR ,4,Bay , Gelding,PP,$0 ,$0 ,0-0-0-3,0,D A Hayes,Lily Chan Li Lei & Marc Chan,88,91,Wootton Bassett,Acola,Acatenango
GB ,4,Bay , Gelding,PP,"$855,000 ","$942,000 ",1-0-0-4,0,D J Whyte,Benjamin William Keswick,85,80,Iffraaj,Royal Whisper,Royal Applause
NZ ,4,Bay , Gelding,PP,"$745,500 ","$745,500 ",0-1-0-5,1,C Fownes,Eddie Junior Yau,83,82,Makfi,Monachee,O'Reilly
AUS ,6,Chestnut , Gelding,PPG,"$1,823,000 ","$6,445,950 ",5-7-2-38,2,W Y So,"Pang Wai Hak, Pang Ka Yeung & Andy Pang Ka Wai",82,81,Strategic,Forget Ima Lady,Lion Hunter
GB ,4,Bay , Gelding,PP,"$407,000 ","$407,000 ",0-1-0-4,1,Y S Tsui,Lily Chan Li Lei & Marc Chan,81,82,Kingman,Kilo Alpha,King's Best
NZ ,4,Bay , Gelding,PP,"$1,237,500 ","$1,237,500 ",1-1-0-4,2,K L Man,Patricia Hui Kan Shui Wah,80,69,Proisir,One Swanstonstreet,Sandtrap
NZ ,6,Brown , Gelding,PP,"$2,593,000 ","$6,478,300 ",4-4-3-35,2,W Y So,Wong Cho Bau,79,75,Shocking,Princess Biscotte,Casino Prince
AUS ,6,Brown , Gelding,PP,"$1,710,000 ","$3,548,900 ",2-3-5-25,1,D J Whyte,Contented And Happy Syndicate,78,69,Street Cry,Sesenta,Encosta de Lago
NZ ,4,Bay , Gelding,PP,"$1,942,500 ","$1,942,500 ",2-0-0-9,0,J Size,Andy Yung Ming Tai,78,71,Proisir,Pemba Nepali,Domesday
SAF ,4,Bay , Gelding,PP,$0 ,$0 ,0-0-0-0,0,D E Ferraris,Virginia Siu Leung Hiu Bing,76,76,What A Winter,Mairingi Bay,Joshua Dancer
AUS ,5,Brown , Gelding,PPG,"$709,000 ","$6,773,950 ",4-4-3-28,1,F C Lor,Fok Yuk Tong,73,82,Denman,More Glory,More Than Ready
GB ,7,Bay , Gelding,PP,"$1,447,500 ","$7,224,850 ",4-6-3-40,1,C H Yip,"Tsoi Huk Yam, Ken Huang Jian Hua, Sheldon Tse Hiu Tung & Wendy Wu Chuwan",71,68,Kyllachy,Meddle,Diktat
NZ ,6,Bay , Gelding,PPG,"$1,887,500 ","$3,188,115 ",2-5-3-18,1,F C Lor,"Kenneth Lam Yiu Kin, Rudolf Tam Kai Chung & Ching Pak Chung",70,62,Per Incanto,Waiana Gold,Gold Centre
AUS ,4,Bay , Gelding,PP,"$1,357,500 ","$1,357,500 ",1-1-1-9,2,Y S Tsui,Telecom Brothers Syndicate,69,68,The Brothers War,Moorings Capital,Song Of Tara
AUS ,3,Bay , Gelding,PP,$0 ,$0 ,0-0-0-0,0,A S Cruz,Xiao Tan Ping,69,69,Deep Field,Saga's Gift,Real Saga
AUS ,3,Grey , Gelding,PP,$0 ,$0 ,0-0-0-0,0,D A Hayes,In Good Company Syndicate,69,69,The Factor,Nullarbor Nymph,Danerich
NZ ,5,Bay , Gelding,PPG,"$1,845,000 ","$3,971,730 ",4-3-3-28,2,C H Yip,Take It Easy Syndicate,68,63,Guillotine,Cassie May,Red Clubs
ITY ,5,Bay , Gelding,PP,"$330,000 ","$1,471,500 ",1-0-2-16,2,A S Cruz,Eddie Wong Ming Chak,67,81,Dabirsim,Resaca,Touch Down
AUS ,5,Bay , Gelding,PP,"$105,000 ","$105,000 ",0-0-0-4,0,W Y So,Sunny Cheung King Fung,66,68,The Factor,Flying Flitter,Flying Spur
AUS ,6,Chestnut , Gelding,PP,"$1,027,500 ","$3,707,400 ",3-1-4-33,2,D J Whyte,Edwin Cheung Hon Kit,65,74,Choisir,Girl Hussler,Hussonet
NZ ,6,Bay , Gelding,PP,"$915,000 ","$2,734,970 ",3-1-4-31,2,C Fownes,"Dr Silas S S Yang, Cheung Yuk Tak, Wong Tak Wai & Ho Chi Keung",65,67,Frankel,Our Echezeaux,Zabeel
AUS ,4,Chestnut , Gelding,PPG,"$945,000 ","$2,327,810 ",2-2-2-13,2,F C Lor,Cheung Sui Ling,65,62,Deep Field,Jolie Bay,Fastnet Rock
IRE ,4,Bay , Gelding,PP,"$90,000 ","$90,000 ",0-0-0-4,2,P O'Sullivan,Tang Ming Hei,65,70,Excelebration,Start The Music,King's Best
AUS ,5,Bay , Gelding,PP,"$1,065,000 ","$1,860,900 ",0-3-2-22,2,C Fownes,Eddie Junior Yau,64,72,Spirit Of Boom,Friendly Glow,Iglesia
AUS ,5,Chestnut , Gelding,PP,"$832,500 ","$2,816,905 ",2-2-3-23,1,F C Lor,Chu Yun Lau,63,67,Snitzel,Femina Fashion,Shamardal
AUS ,3,Bay , Gelding,PPG,"$570,000 ","$570,000 ",1-0-0-1,1,D A Hayes,Lucky United Syndicate,62,52,Unencumbered,Choose Wisely,Falvelon
AUS ,5,Chestnut , Gelding,PPG,$0 ,"$976,670 ",1-2-0-6,1,P F Yiu,"Mr & Mrs Pang Wai Hak, Pang Ka Yeung and Andy Pang Ka Wai",61,61,Excelebration,My Type,Zabeel
AUS ,5,Bay , Gelding,PPG,$0 ,"$797,775 ",1-1-0-6,0,T P Yung,Tung Wah Buddies Syndicate,60,60,Hussonet,Puzzles,Redoute's Choice
AUS ,5,Bay , Gelding,PP,"$570,000 ","$920,490 ",1-1-0-17,2,D J Hall,Simon Wong,59,60,Dundeel,Plumm,Encosta de Lago
AUS ,5,Chestnut , Gelding,PP,"$602,500 ","$2,038,000 ",0-3-4-20,1,D J Whyte,Lai Chan Cheong,58,68,Fast 'N' Famous,Sequential Charm,Sequalo
NZ ,4,Chestnut , Gelding,PP,$0 ,$0 ,0-0-0-6,1,C H Yip,Bobby Cheung King Chuen,58,68,Pins,Princessabeel,Savabeel
AUS ,5,Bay , Gelding,PP,"$205,000 ","$828,500 ",0-1-2-16,2,P F Yiu,Enjoying Life Syndicate,58,70,Turffontein,Catskin,Catbird
AUS ,3,Bay , Gelding,PPG,"$570,000 ","$570,000 ",1-0-0-2,0,K H Ting,Leon Chan,57,52,Real Impact,Lovely Rita,Deputy Governor
AUS ,4,Bay , Gelding,PP,"$280,000 ","$280,000 ",0-1-0-8,2,Y S Tsui,Billy Cheung King Shan,55,68,Smart Missile,Ocelot,Tale Of The Cat
NZ ,6,Bay , Gelding,PPG,"$202,500 ","$3,337,720 ",4-2-4-34,2,K W Lui,Eclat Syndicate,54,63,Your Song,Shalt Not,St Covet
NZ ,6,Brown , Gelding,PP,"$272,500 ","$1,439,550 ",1-1-1-28,1,C Fownes,Bobby Cheung King Chuen,53,64,Burgundy,Pride And Passion,Encosta de Lago
AUS ,3,Bay , Colt,PPG,$0 ,$0 ,0-0-0-1,1,W Y So,Chinese Accountants Syndicate,52,52,Time For War,Kagami,Octagonal
AUS ,3,Chestnut , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,C H Yip,Lucky Star Syndicate,52,52,Olympic Glory,Ericas Magic,Magic Albert
NZ ,5,Bay , Gelding,PP,$0 ,$0 ,0-0-0-6,1,P O'Sullivan,Alex Cheung King Shek,52,65,Showcasing,Danasia,Danehill
NZ ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,D J Whyte,"Louie Yang Si Hang, Kenny Yang Si Kit, Dr Joseph Chow Shing Fai & Dr Law Hing Fai",52,52,Reliable Man,The General's Lady,General Nediym
GB ,4,Bay , Colt,PPG,$0 ,$0 ,0-0-0-0,0,K W Lui,Absolute Hedge Syndicate,52,52,Harbour Watch,Shades Of Silk,Bahamian Bounty
AUS ,3,Brown , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,D A Hayes,Keep-One-Step-Ahead Syndicate,52,52,Kuroshio,Silent Stash,Dash For Cash
NZ ,3,Brown , Gelding,PPG,"$35,000 ","$35,000 ",0-0-0-1,1,D J Whyte,Andrew Shawn Reynolds & Thiyagarajah Rajah,52,52,Power,Roadtoplatinum,Lonhro
AUS ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-1,0,J Size,Happy Corner Syndicate,52,52,Outreach,Porte Triage,Redoute's Choice
NZ ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,K H Ting,Gavin Cheung King Chi,52,52,Darci Brahma,Just Keepher,Keeper
AUS ,3,Brown , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,D A Hayes,Jason Chow Wang Yuen,52,52,Headwater,Kee de Vega,Lope de Vega
AUS ,3,Brown , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,D J Hall,Dr Phillip Mak Chi Kin,52,52,Redoute's Choice,Traceability,Charge Forward
AUS ,6,Bay , Gelding,PPG,$0 ,"$1,232,140 ",2-0-1-17,1,K H Ting,James Ngai,51,63,Exceed And Excel,Thirst,Chester House
NZ ,6,Bay , Gelding,PPG,"$780,000 ","$2,461,608 ",1-4-6-32,1,Y S Tsui,Sunny Cheung King Fung,49,52,Tavistock,Far Far Away,Keeper
AUS ,4,Grey , Gelding,PPG,$0 ,$0 ,0-0-0-2,1,K H Ting,Invincible Gurus Syndicate,49,52,The Factor,Classic Approach,New Approach
IRE ,8,Bay , Gelding,PP,"$1,483,000 ","$4,270,578 ",1-11-6-49,0,R Gibson,Jackie Wong See Sum,49,44,Holy Roman Emperor,Sharapova,Elusive Quality
AUS ,3,Chestnut , Gelding,PPG,$0 ,$0 ,0-0-0-2,1,K W Lui,Ken Hung Kam Lung,49,52,Shooting To Win,Peach Tree,Bel Esprit
NZ ,7,Chestnut , Gelding,PP,"$35,000 ","$586,190 ",1-0-0-14,0,T P Yung,Vitus Yiu & Florence Yiu,48,52,Swiss Ace,Encosta de Nacre,Encosta de Lago
AUS ,3,Chestnut , Gelding,PPG,$0 ,$0 ,0-0-0-3,2,W Y So,Wong Ho,48,52,Sepoy,Money Talker,Benicio
NZ ,3,Brown , Gelding,PPG,"$220,000 ","$220,000 ",0-1-0-4,1,Y S Tsui,Wong Chun Tat,48,52,Savabeel,Iguazu's Girl,Redoute's Choice
AUS ,8,Bay , Gelding,PP,"$465,000 ","$6,850,996 ",5-5-8-74,1,Y S Tsui,Pui Kwan Kay & Raymond Chu Yuet Chung,46,56,Fastnet Rock,Queen Of Troy,Storm Cat
AUS ,8,Bay , Gelding,PP,"$52,500 ","$4,445,855 ",4-3-4-52,1,R Gibson,Francis Lui Sing Chuen,46,66,High Chaparral,Sarasota,Danehill
AUS ,4,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-5,0,F C Lor,"Stanley Tsang Ming Chit, Johnny Wong Ka Keung, Adrian Tsang Man Shun & Cheung Kam Tak",45,49,Danerich,Proper Lines,Ne Coupez Pas
NZ ,5,Bay , Gelding,PPG,$0 ,"$328,780 ",0-0-1-11,0,D J Hall,Always-One-Step-Ahead Syndicate,44,48,Smart Missile,Sunsari,Encosta de Lago
SAF ,4,Bay , Gelding,ISG,$0 ,$0 ,0-0-0-4,0,C H Yip,IJDH Syndicate,44,52,Captain Al,Valor Red,Western Winter
FR ,4,Bay , Gelding,ISG,"$155,000 ","$155,000 ",0-0-0-7,2,L Ho,"So Shek Wing, Hung Kwong Yee, Lam Cheung Chuen & Leung Kwan Tong",42,52,Siyouni,Pertinence,Fasliyev
GB ,5,Chestnut , Gelding,PP,"$521,250 ","$555,095 ",0-3-0-20,1,C Fownes,Marian Choi Man Yun,38,40,Archipenko,Malhadinha,New Approach
AUS ,5,Bay , Gelding,PPG,"$453,750 ","$531,095 ",1-0-0-14,0,W Y So,Dr John Shum Ding Ping & Dr Lawrence Chan Pui Wing,36,32,Manhattan Rain,Paradise Lost,Sadler's Wells
AUS ,6,Brown , Gelding,PP,"$200,000 ","$1,260,175 ",0-4-3-30,1,Y S Tsui,Joseph Lo Kin Ching & Calvin Lo,32,41,Bon Hoffa,Beaten By The Bel,Bel Esprit
AUS ,4,Bay , Gelding,PPG,"$236,250 ","$236,250 ",0-1-0-12,1,C H Yip,Ian Cheung Lap Yan,31,38,Smart Missile,Twisted Heart,Distorted Humor
NZ ,5,Bay , Gelding,PPG,"$828,750 ","$1,071,625 ",1-3-1-20,0,A T Millard,Francis & Louise Chan,27,20,Tiger Prawn,Je Suis,Stravinsky
IRE ,7,Bay , Gelding,PP,"$176,250 ","$2,103,675 ",2-5-4-43,1,C W Chang,The Joy of Giving Syndicate,21,31,Thewayyouare,Vera Mont,Danehill Dancer
GB ,8,Grey , Gelding,PP,"$678,750 ","$3,670,725 ",6-1-5-73,2,D J Hall,Gary Lee Sai Ho,20,23,Zebedee,Break Of Dawn,Mt Livermore
FR ,3,Grey , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,J Size,Hey Pal Syndicate,,,Toronado,Hathfa,Dark Angel
NZ ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,K L Man,Ma Shun Ling,,,Smart Missile,Anne Of Cleves,Diktat
USA ,3,Chestnut , Colt,PPG,"$484,500 ","$484,500 ",1-0-0-1,1,K W Lui,Sunny Wong Chi Tat,,,Mizzen Mast,Head For Home,Whiskey Wisdom
FR ,6,Bay , Gelding,PP,"$1,305,000 ","$4,937,200 ",2-3-3-23,1,D J Whyte,Hubert Tien & Ben Fung Ka Kin,78,78,Dabirsim,Great News,Bering
AUS ,5,Brown , Gelding,PP,"$277,500 ","$4,021,350 ",2-4-3-32,2,K L Man,Tam Ho Man,69,83,Wicked Style,Camphor,Tsuimai
AUS ,4,Chestnut , Gelding,PP,$0 ,$0 ,0-0-0-6,2,Y S Tsui,Philip Wong Chi Hung & Yves Yeung,58,68,Street Boss,Deemless,Nadeem
