origin,age,colour,sex,import_type,season_stakes,total_stakes,no_of_123_starts,no_of_starts_in_past_races,trainer,owner,current_rating,start_of_season_rating,sire,dam,dam_sire
NZ ,5,Chestnut , Gelding,PPG,"$6,945,500 ","$10,126,360 ",7-2-2-15,1,P F Yiu,Mr & Mrs Li Ming On,120,87,Power,Wanderov,Ustinov
GB ,5,Bay , Gelding,PP,"$2,101,500 ","$13,118,600 ",4-2-3-16,1,K W Lui,Huang Kai Wen,117,111,Dutch Art,Striving,Danehill Dancer
AUS ,7,Bay , Gelding,PP,"$1,595,000 ","$6,491,550 ",5-2-2-27,1,K W Lui,Chan Kam Hung,90,88,Stratum,Sprung,Grand Slam
NZ ,5,Bay , Gelding,PPG,$0 ,"$7,033,700 ",5-4-1-18,0,W Y So,"Li Sai Hung, Li Yau Hing, Darren Li Sai Wa & Jimmy Li Sai Hang",88,91,Darci Brahma,Surreptitiously,Machiavellian
GB ,6,Bay , Gelding,PP,"$666,000 ","$5,247,800 ",3-7-0-34,2,K H Ting,Ting Ping Sing & Sherman Ting Wing Cheung,85,87,Zebedee,Barathea Dancer,Barathea
AUS ,4,Bay , Gelding,PP,"$1,800,000 ","$1,800,000 ",2-0-0-5,1,D A Hayes,Ho Tsz Wan,85,72,Toronado,Circus Polka,Stravinsky
GER ,4,Chestnut , Colt,PP,"$737,000 ","$737,000 ",0-1-1-6,1,A T Millard,Tony Yue Kwok Leung,85,82,Ivawood,Coco Demure,Titus Livius
AUS ,6,Bay , Gelding,PPG,"$1,353,000 ","$6,230,750 ",5-4-4-25,0,A S Cruz,Ronald Cheung Joo Cheong,84,85,Tycoon Ruler,Get A Life,Sequalo
SAF ,4,Chestnut , Gelding,PP,$0 ,$0 ,0-0-0-2,0,A T Millard,Chantilly Buddies Syndicate,80,82,Time Thief,Yellow Card,Trippi
GB ,4,Grey , Gelding,PP,$0 ,$0 ,0-0-0-0,0,D J Whyte,Michael John Caddy,78,78,Lethal Force,Welsh Cake,Fantastic Light
AUS ,8,Bay , Gelding,PP,"$502,500 ","$5,423,700 ",4-4-3-38,2,C W Chang,Mok Kam Hung & Michael Mok Kwan Yuen,77,86,Foreplay,The Baroness,Viscount
AUS ,4,Bay , Gelding,PP,"$330,000 ","$330,000 ",0-1-0-2,2,D J Whyte,Alexander Ng Win Yew,74,72,Snitzel,McHappy,Rory's Jester
AUS ,4,Chestnut , Gelding,PP,"$1,207,500 ","$1,207,500 ",1-0-1-8,2,K H Ting,Ma Hing Man,72,72,Shooting To Win,Across The Moon,Stratum
AUS ,5,Bay , Gelding,PP,"$1,455,000 ","$2,180,000 ",1-2-1-17,1,A S Cruz,Chen Ching Lung,72,73,Redoute's Choice,Hifalutin,Peintre Celebre
AUS ,4,Bay , Gelding,PPG,"$900,000 ","$1,593,823 ",2-1-1-12,0,P F Yiu,Mr & Mrs Li Ming On,72,57,Snitzel,Ain'Tnofallenstar,Starcraft
AUS ,4,Brown , Gelding,PPG,"$1,932,500 ","$1,990,520 ",2-1-2-6,0,K H Ting,Sarah Wong Lai,72,52,Deep Field,Kerimba,Sinndar
GB ,4,Grey , Gelding,PP,$0 ,$0 ,0-0-0-0,0,R Gibson,Cheng Hon Yat & Sharon Cheng Yik Ting,71,71,Lethal Force,Broughtons Jewel,Bahri
